order_id,order_date,order_hour,weekday,city,lat,lon,restaurant_type,cuisine,channel,payment_mode,traffic_level,weather,distance_km,prep_time_min,order_value,delivery_time_min,customer_rating,late_delivery,weekend
QB100010,2024-06-09,17,Sunday,Mumbai,19.049389014531922,72.91702336967019,Casual Dining,Indian,App,UPI,Medium,Rain,2.31,14.3,300.23,46.1,4.63,0,1
QB100011,2024-11-26,14,Tuesday,Surat,21.218397287656074,72.91444817149984,Quick Service,North Indian,Web,Wallet,Medium,Clear,3.88,11.2,272.64,55.6,3.09,1,0
QB100012,2024-07-01,18,Monday,Pune,18.540344687651338,73.94030707792679,Quick Service,Biryani,App,Card,Medium,Cloudy,4.13,12.1,217.96,49.3,4.4,0,0
QB100013,2024-04-19,14,Friday,Mumbai,19.051917111190328,72.64338389082391,Casual Dining,Biryani,App,UPI,Medium,Storm,3.22,18.5,313.74,61.9,2.81,1,0
QB100014,2024-12-08,16,Sunday,Mumbai,19.10832813240072,72.79594207116874,Quick Service,North Indian,App,UPI,Medium,Cloudy,1.24,13.5,270.29,36.3,5.0,0,1
QB100015,2024-09-24,17,Tuesday,Mumbai,19.170733802212812,72.90168196509772,Casual Dining,North Indian,Web,Card,Low,Cloudy,2.11,14.9,307.21,34.2,5.0,0,0
QB100016,2024-12-05,13,Thursday,Delhi NCR,28.664262366737745,77.1446547392272,Quick Service,Desserts,App,UPI,Low,Rain,8.15,9.5,210.92,50.6,4.42,0,0
QB100017,2024-08-09,12,Friday,Bengaluru,13.029992919430631,77.61982734871205,Cloud Kitchen,Fast Food,App,UPI,Medium,Clear,5.51,6.0,198.49,40.6,5.0,0,0
QB100018,2024-10-19,6,Saturday,Bengaluru,12.922584428329792,77.67875160458125,Quick Service,Desserts,App,UPI,Low,Clear,1.67,9.0,166.23,29.5,5.0,0,1
QB100019,2024-08-10,10,Saturday,Delhi NCR,28.68198553712165,77.32904570951702,Quick Service,Indian,Web,UPI,Medium,Clear,4.26,7.1,271.96,40.8,5.0,0,1
QB100020,2024-04-15,14,Monday,Hyderabad,17.40244604069222,78.48837578924201,Casual Dining,Fast Food,App,UPI,Low,Clear,1.57,16.4,260.99,35.2,5.0,0,0
QB100021,2024-11-27,11,Wednesday,Mumbai,18.939690273053863,72.80374272094964,Casual Dining,South Indian,App,COD,Low,Storm,9.3,12.9,295.72,57.0,3.16,1,0
QB100022,2024-04-04,23,Thursday,Delhi NCR,28.56032145340093,77.17691450664616,Casual Dining,Desserts,Web,Wallet,Medium,Clear,3.83,14.9,232.81,46.2,5.0,0,0
QB100023,2024-11-13,22,Wednesday,Delhi NCR,28.623193846726124,77.14140812372716,Cloud Kitchen,Fast Food,Web,UPI,High,Clear,5.97,14.4,263.72,55.0,3.21,0,0
QB100024,2024-01-13,9,Saturday,Bengaluru,12.910206319994266,77.52448922132437,Quick Service,Biryani,App,UPI,Low,Storm,1.14,13.0,307.73,44.2,4.99,0,1
QB100025,2024-01-02,17,Tuesday,Pune,18.637322096502118,73.78692770566454,Quick Service,Biryani,App,COD,Low,Cloudy,12.41,10.9,341.28,62.6,3.19,1,0
QB100026,2024-02-22,12,Thursday,Mumbai,19.053004198447972,72.90068631235225,Cloud Kitchen,Indian,App,UPI,Low,Cloudy,3.41,10.8,309.35,29.5,4.91,0,0
QB100027,2024-11-16,11,Saturday,Bengaluru,12.879077121212982,77.64307084383658,Quick Service,Chinese,App,Card,Very High,Clear,8.13,12.7,331.31,70.2,1.51,1,1
QB100028,2024-08-14,12,Wednesday,Bengaluru,12.9811960544127,77.5625068635511,Casual Dining,Chinese,App,UPI,Low,Cloudy,11.1,18.3,309.66,72.4,1.8,1,0
QB100029,2024-06-12,12,Wednesday,Mumbai,18.988934441037678,72.77535036033177,Premium Dining,Indian,App,Card,Medium,Rain,3.25,16.8,470.43,47.9,4.42,0,0
QB100030,2024-05-21,8,Tuesday,Hyderabad,17.279910788313675,78.55500468498472,Casual Dining,Desserts,App,UPI,Very High,Rain,2.53,10.5,286.41,61.4,3.09,1,0
QB100031,2024-12-16,9,Monday,Mumbai,19.064442526776016,72.80193626737277,Casual Dining,North Indian,App,UPI,High,Rain,3.92,14.3,326.61,51.1,4.07,0,0
QB100032,2024-09-06,10,Friday,Mumbai,18.947785908411312,72.78045216032366,Cloud Kitchen,North Indian,App,Card,Very High,Clear,3.64,11.5,259.12,57.1,3.51,1,0
QB100033,2024-07-18,13,Thursday,Surat,21.087952287374247,72.823330543914,Quick Service,South Indian,App,Card,Low,Cloudy,4.36,9.3,189.28,46.3,4.58,0,0
QB100034,2024-08-07,7,Wednesday,Surat,21.135742823963177,72.81941520919624,Premium Dining,Chinese,Web,UPI,Low,Cloudy,4.3,18.8,434.16,50.2,4.43,0,0
QB100035,2024-07-27,11,Saturday,Pune,18.526856530110937,73.80620481844453,Cloud Kitchen,Desserts,Web,UPI,Very High,Clear,4.55,11.3,184.29,65.6,2.84,1,1
QB100036,2024-09-25,15,Wednesday,Delhi NCR,28.629133911194007,77.24493749770281,Casual Dining,Chinese,Web,UPI,Medium,Clear,3.03,14.1,309.63,40.2,5.0,0,0
QB100037,2024-01-13,15,Saturday,Mumbai,19.082099058214528,72.86331604438789,Cloud Kitchen,Chinese,App,Wallet,Very High,Clear,1.22,15.2,237.79,39.4,5.0,0,1
QB100038,2024-11-09,11,Saturday,Hyderabad,17.348434863516452,78.49107435267854,Casual Dining,Chinese,App,UPI,Low,Clear,4.21,7.9,353.64,33.7,5.0,0,1
QB100039,2024-04-12,10,Friday,Bengaluru,13.130788405867005,77.62267540039166,Quick Service,Biryani,App,Wallet,Low,Rain,10.68,10.0,371.23,60.9,2.16,1,0
QB100040,2024-01-06,8,Saturday,Mumbai,19.129835456359604,72.73653232725783,Cloud Kitchen,South Indian,App,UPI,Low,Storm,2.98,12.2,251.93,44.4,4.4,0,1
QB100041,2024-08-01,19,Thursday,Bengaluru,12.904895999869153,77.76918852009541,Quick Service,Fast Food,App,UPI,Medium,Clear,3.43,6.5,222.52,24.7,5.0,0,0
QB100042,2024-01-25,8,Thursday,Mumbai,19.039198627117898,72.80149535017452,Quick Service,North Indian,App,UPI,Very High,Clear,3.43,11.7,236.11,46.2,4.45,0,0
QB100043,2024-07-05,13,Friday,Surat,21.17794625419276,72.79079225977402,Quick Service,Indian,Web,UPI,Low,Cloudy,4.99,11.7,310.01,49.6,4.42,0,0
QB100044,2024-01-12,6,Friday,Delhi NCR,28.584223358434276,77.19168575773793,Casual Dining,Indian,App,UPI,Low,Clear,4.99,12.0,370.49,39.0,5.0,0,0
QB100045,2024-08-15,17,Thursday,Hyderabad,17.427202972694403,78.46578274901447,Quick Service,Biryani,App,UPI,Medium,Clear,11.02,13.4,322.38,64.7,1.8,1,0
QB100046,2024-02-03,17,Saturday,Delhi NCR,28.588898707145947,77.25780185358276,Cloud Kitchen,North Indian,App,COD,High,Rain,3.13,6.8,362.31,48.3,3.88,0,1
QB100047,2024-05-05,12,Sunday,Bengaluru,12.96720150853593,77.55733423368643,Casual Dining,Indian,App,COD,Medium,Rain,1.64,14.0,455.94,45.4,4.01,0,1
QB100048,2024-07-12,6,Friday,Bengaluru,12.986414042946393,77.62863558913473,Casual Dining,Biryani,Web,UPI,Low,Rain,4.59,19.1,379.81,49.6,4.33,0,0
QB100049,2024-04-17,11,Wednesday,Mumbai,19.130693793713355,72.8732642110309,Cloud Kitchen,Chinese,App,COD,Low,Cloudy,7.45,7.4,254.38,38.5,4.97,0,0
QB100050,2024-12-01,15,Sunday,Surat,21.14485879152515,72.82929376471245,Casual Dining,Fast Food,Web,UPI,Medium,Clear,3.41,12.7,183.17,52.1,4.19,0,1
QB100051,2024-03-18,7,Monday,Pune,18.51583276433492,73.84088261261779,Casual Dining,South Indian,App,UPI,High,Rain,8.12,14.7,287.99,88.6,1.0,1,0
QB100052,2024-06-12,17,Wednesday,Surat,21.106023817261104,72.80106984355255,Quick Service,Biryani,App,Wallet,Very High,Rain,2.51,11.7,294.2,62.2,2.94,1,0
QB100053,2024-12-08,12,Sunday,Surat,21.096898071954904,72.93953542408845,Quick Service,South Indian,App,UPI,Medium,Clear,8.33,12.5,252.35,64.4,2.95,1,1
QB100054,2024-08-06,6,Tuesday,Bengaluru,13.085082507611844,77.39557530747719,Cloud Kitchen,Indian,App,UPI,Medium,Clear,8.84,13.9,366.76,62.2,2.43,1,0
QB100055,2024-05-10,11,Friday,Surat,21.23266523422513,72.78113192745855,Quick Service,North Indian,App,Card,High,Clear,4.27,11.3,377.08,61.6,2.52,1,0
QB100056,2024-07-18,10,Thursday,Mumbai,19.007735735453895,72.88452273867948,Premium Dining,Indian,App,Card,Medium,Rain,7.54,29.1,431.86,72.0,1.21,1,0
QB100057,2024-08-17,17,Saturday,Mumbai,19.02005454337379,72.9706966629274,Quick Service,Indian,Web,Card,Very High,Storm,3.65,14.8,250.7,77.1,1.06,1,1
QB100058,2024-10-31,15,Thursday,Mumbai,19.023663977209946,72.96108883699942,Quick Service,Chinese,App,Card,Medium,Clear,0.6,15.8,205.32,33.7,5.0,0,0
QB100059,2024-08-04,18,Sunday,Delhi NCR,28.571829625928384,77.22322000850144,Casual Dining,Fast Food,App,UPI,Medium,Cloudy,5.96,14.5,152.2,56.4,3.06,1,1
QB100060,2024-07-06,11,Saturday,Delhi NCR,28.78710448542453,77.30424388754749,Cloud Kitchen,North Indian,App,UPI,High,Clear,5.25,16.6,311.04,53.4,3.62,0,1
QB100061,2024-01-16,17,Tuesday,Delhi NCR,28.454594236209584,77.2298413937483,Casual Dining,South Indian,App,Card,Medium,Rain,5.48,6.0,266.14,48.5,3.9,0,0
QB100062,2024-09-09,10,Monday,Pune,18.555278031160004,73.65412031318243,Cloud Kitchen,South Indian,Web,UPI,Medium,Rain,5.91,13.0,222.21,69.0,1.88,1,0
QB100063,2024-06-28,8,Friday,Delhi NCR,28.743370506307826,77.1881163046496,Cloud Kitchen,Indian,App,UPI,Low,Clear,3.69,7.0,290.97,33.5,5.0,0,0
QB100064,2024-09-07,13,Saturday,Delhi NCR,28.702134218619413,77.36382562692788,Premium Dining,Biryani,App,UPI,Low,Cloudy,10.89,22.2,452.31,59.0,2.92,1,1
QB100065,2024-12-13,11,Friday,Bengaluru,12.905285790959608,77.5448638755009,Cloud Kitchen,Biryani,App,COD,Medium,Clear,3.29,12.5,281.9,39.7,4.27,0,0
QB100066,2024-09-22,19,Sunday,Mumbai,19.068688035399273,72.87122972017077,Premium Dining,South Indian,App,UPI,Medium,Storm,3.66,15.8,397.15,56.3,3.25,1,1
QB100067,2024-11-29,8,Friday,Pune,18.61220313708751,73.79841827567886,Casual Dining,North Indian,App,UPI,Low,Storm,11.0,10.0,361.74,80.2,1.0,1,0
QB100068,2024-07-15,8,Monday,Mumbai,18.963679896289513,73.08930294323322,Cloud Kitchen,Indian,Web,Card,Very High,Clear,1.68,7.3,297.11,38.9,5.0,0,0
QB100069,2024-02-20,7,Tuesday,Surat,21.121827034600383,72.89715810903579,Quick Service,Biryani,App,UPI,Low,Clear,2.1,17.6,266.16,54.3,3.96,0,0
QB100070,2024-11-05,20,Tuesday,Pune,18.381997300845175,74.00736206139288,Cloud Kitchen,North Indian,Web,COD,Medium,Cloudy,3.1,8.5,347.73,50.5,3.96,0,0
QB100071,2024-08-12,15,Monday,Mumbai,19.06132102056012,72.7441159877523,Quick Service,Chinese,App,UPI,High,Clear,3.65,11.6,267.66,38.4,5.0,0,0
QB100072,2024-05-27,8,Monday,Mumbai,18.92879378043954,72.87511755111605,Cloud Kitchen,Fast Food,App,UPI,Medium,Clear,5.45,13.0,290.36,51.8,4.07,0,0
QB100073,2024-07-08,6,Monday,Pune,18.383745194454672,73.92215382402914,Quick Service,Chinese,App,UPI,Low,Clear,7.94,13.9,207.35,52.8,3.94,0,0
QB100074,2024-02-03,10,Saturday,Hyderabad,17.353902680725025,78.51865189994228,Casual Dining,Biryani,App,UPI,Medium,Clear,7.18,17.0,413.91,52.4,4.16,0,1
QB100075,2024-04-18,12,Thursday,Hyderabad,17.37641161674288,78.56665352261423,Quick Service,Desserts,App,UPI,Very High,Storm,12.31,15.0,135.2,95.0,1.0,1,0
QB100076,2024-04-26,12,Friday,Pune,18.375341337119757,73.77201115275767,Cloud Kitchen,Desserts,App,UPI,Medium,Rain,12.34,13.0,190.24,86.4,1.0,1,0
QB100077,2024-08-10,12,Saturday,Mumbai,19.171581028950154,72.94927177500591,Quick Service,Desserts,App,UPI,Medium,Clear,1.04,13.4,271.02,35.7,5.0,0,1
QB100078,2024-11-13,7,Wednesday,Delhi NCR,28.493244971651688,77.11644172198862,Quick Service,Desserts,App,Wallet,Low,Clear,4.43,9.1,209.12,34.7,5.0,0,0
QB100079,2024-06-03,11,Monday,Mumbai,19.04164278851991,72.94834369021609,Quick Service,Chinese,Web,UPI,Low,Clear,3.94,10.4,263.14,31.8,5.0,0,0
QB100080,2024-12-24,10,Tuesday,Pune,18.60275659852787,73.92648523040228,Quick Service,South Indian,Web,UPI,Low,Clear,1.4,15.3,234.18,45.5,4.45,0,0
QB100081,2024-02-10,18,Saturday,Hyderabad,17.24584899110754,78.54306846557672,Quick Service,North Indian,App,UPI,Very High,Rain,9.74,11.5,244.48,86.9,1.0,1,1
QB100082,2024-04-04,14,Thursday,Delhi NCR,28.619717970192266,77.22398364398586,Quick Service,North Indian,App,UPI,Very High,Clear,1.31,15.2,258.93,54.6,3.7,0,0
QB100083,2024-03-19,13,Tuesday,Mumbai,19.077218161649398,72.96152809051722,Casual Dining,Fast Food,App,UPI,Low,Clear,1.33,14.1,319.73,36.4,4.63,0,0
QB100084,2024-09-01,6,Sunday,Delhi NCR,28.58029091507392,77.15437741132632,Quick Service,Desserts,Web,Card,High,Clear,9.85,15.2,145.78,79.7,1.0,1,1
QB100085,2024-08-01,23,Thursday,Delhi NCR,28.63963428331012,77.22244478447735,Quick Service,Indian,App,UPI,Medium,Clear,1.96,11.3,368.93,37.8,5.0,0,0
QB100086,2024-01-18,11,Thursday,Hyderabad,17.409917405060884,78.52112787535238,Casual Dining,North Indian,App,Wallet,Low,Rain,3.65,14.1,368.84,39.6,5.0,0,0
QB100087,2024-03-08,10,Friday,Hyderabad,17.271307748788352,78.4453290335641,Premium Dining,South Indian,App,Card,Low,Clear,2.6,24.1,331.08,43.2,4.22,0,0
QB100088,2024-04-08,15,Monday,Pune,18.54151425228039,73.9920281732302,Casual Dining,Fast Food,Web,Wallet,Very High,Clear,2.61,17.9,314.54,70.3,1.88,1,0
QB100089,2024-02-26,15,Monday,Bengaluru,12.90722203420653,77.6014063225584,Cloud Kitchen,Desserts,App,Wallet,Low,Clear,3.37,13.4,192.54,37.5,4.85,0,0
QB100090,2024-10-28,8,Monday,Mumbai,19.001268182951375,72.92681667266167,Premium Dining,North Indian,App,Card,Medium,Cloudy,7.86,19.2,430.89,53.9,3.41,0,0
QB100091,2024-04-06,16,Saturday,Hyderabad,17.354374624830964,78.47680168429801,Cloud Kitchen,Chinese,Web,COD,Low,Rain,2.89,7.8,354.89,35.7,5.0,0,1
QB100092,2024-12-08,6,Sunday,Pune,18.56355631538849,73.92826241739108,Quick Service,Fast Food,App,Wallet,Medium,Rain,11.62,14.7,259.61,95.0,1.0,1,1
QB100093,2024-04-24,6,Wednesday,Bengaluru,12.892784447777013,77.70699538633745,Cloud Kitchen,Chinese,App,Card,High,Clear,2.68,14.6,353.76,44.3,4.59,0,0
QB100094,2024-04-10,12,Wednesday,Pune,18.53758460183016,73.74221850815366,Casual Dining,Indian,App,Card,Low,Rain,5.49,12.3,273.26,53.6,4.33,0,0
QB100095,2024-07-21,20,Sunday,Bengaluru,13.00112258651602,77.64318052077277,Cloud Kitchen,Fast Food,App,UPI,Very High,Clear,6.72,6.1,239.24,58.7,3.68,1,1
QB100096,2024-04-17,21,Wednesday,Bengaluru,12.995736000712139,77.60864289836628,Cloud Kitchen,Chinese,App,UPI,Medium,Clear,1.88,13.1,326.98,40.5,5.0,0,0
QB100097,2024-11-14,17,Thursday,Bengaluru,13.02420787853636,77.63940121179263,Quick Service,Healthy,Web,Card,High,Clear,0.6,17.4,208.06,54.2,3.36,0,0
QB100098,2024-05-27,16,Monday,Mumbai,19.01705838912419,72.75777872316333,Casual Dining,Chinese,App,Wallet,High,Storm,3.3,10.5,144.7,56.7,3.65,1,0
QB100099,2024-09-25,20,Wednesday,Mumbai,19.156304123866597,72.87526477347978,Quick Service,Biryani,App,UPI,Medium,Clear,3.27,14.6,325.24,39.3,5.0,0,0
QB100100,2024-10-22,6,Tuesday,Mumbai,19.14513948917874,72.95834032034347,Quick Service,Indian,Web,UPI,Medium,Clear,2.29,10.4,336.41,35.2,5.0,0,0
QB100101,2024-01-11,17,Thursday,Hyderabad,17.341620982557775,78.4991239873186,Quick Service,South Indian,App,UPI,High,Cloudy,0.66,12.5,260.84,39.5,4.89,0,0
QB100102,2024-09-22,13,Sunday,Delhi NCR,28.675407174077513,77.23388879929146,Cloud Kitchen,Indian,App,UPI,Medium,Clear,0.71,18.3,204.63,38.2,5.0,0,1
QB100103,2024-12-19,11,Thursday,Bengaluru,12.890926405525505,77.53951295802906,Casual Dining,Indian,App,UPI,High,Clear,2.84,11.8,399.85,50.6,4.02,0,0
QB100104,2024-08-29,15,Thursday,Surat,21.03402970347693,72.92575817389704,Casual Dining,Desserts,Web,UPI,Medium,Clear,1.94,20.6,241.64,52.5,3.78,0,0
QB100105,2024-07-18,8,Thursday,Delhi NCR,28.572259607362355,77.18659163806561,Casual Dining,Fast Food,App,Wallet,Low,Clear,12.26,12.3,327.19,54.2,3.73,0,0
QB100106,2024-10-05,13,Saturday,Delhi NCR,28.56757007122914,77.38259492704644,Quick Service,Chinese,App,UPI,Medium,Clear,1.25,10.9,215.04,33.2,5.0,0,1
QB100107,2024-05-18,14,Saturday,Hyderabad,17.46984738687859,78.39531282561866,Casual Dining,Chinese,App,Wallet,Low,Clear,7.58,13.3,248.35,44.0,4.81,0,1
QB100108,2024-06-30,10,Sunday,Delhi NCR,28.515488940499353,77.31860349289369,Quick Service,Biryani,App,UPI,High,Rain,0.98,7.9,311.58,45.8,4.71,0,1
QB100109,2024-02-01,14,Thursday,Mumbai,18.977781172671637,72.87104650313584,Cloud Kitchen,North Indian,App,UPI,Medium,Clear,7.67,8.3,326.38,39.7,5.0,0,0
QB100110,2024-04-17,11,Wednesday,Delhi NCR,28.622951236564244,77.17793224493592,Casual Dining,Fast Food,App,COD,High,Clear,3.57,12.5,262.98,46.7,4.27,0,0
QB100111,2024-12-22,6,Sunday,Mumbai,19.08731524103387,72.8591539064606,Quick Service,Biryani,App,COD,High,Clear,1.09,19.7,234.74,47.4,3.93,0,1
QB100112,2024-04-10,16,Wednesday,Surat,21.235096282229016,72.92807269508403,Cloud Kitchen,Fast Food,App,UPI,High,Clear,2.67,17.1,192.56,69.8,1.31,1,0
QB100113,2024-07-25,15,Thursday,Pune,18.503687317423307,73.87454700483045,Cloud Kitchen,Chinese,App,Card,Low,Clear,7.41,15.0,178.59,54.9,3.5,0,0
QB100114,2024-08-19,12,Monday,Hyderabad,17.392879867841977,78.50719774688656,Casual Dining,Desserts,App,UPI,High,Rain,5.48,7.9,120.0,63.4,2.53,1,0
QB100115,2024-08-01,17,Thursday,Pune,18.55331167017267,73.90671190908084,Premium Dining,Fast Food,App,UPI,Low,Clear,4.86,17.8,406.88,50.5,3.13,0,0
QB100116,2024-02-06,11,Tuesday,Pune,18.583905477371506,73.73327574254057,Cloud Kitchen,Indian,App,Wallet,Medium,Rain,3.3,7.2,290.73,47.9,4.66,0,0
QB100117,2024-12-23,19,Monday,Mumbai,18.998904795451853,72.86860091414523,Casual Dining,Indian,Web,Card,Low,Clear,3.72,16.7,312.04,29.6,5.0,0,0
QB100118,2024-11-01,12,Friday,Surat,21.24512032933844,72.80660673137156,Casual Dining,Fast Food,App,COD,Very High,Storm,6.43,6.0,294.27,95.0,1.0,1,0
QB100119,2024-07-16,16,Tuesday,Bengaluru,13.102858315280443,77.54994331737345,Quick Service,Fast Food,App,Wallet,Low,Rain,3.42,19.3,214.53,43.5,4.58,0,0
QB100120,2024-03-27,15,Wednesday,Pune,18.618844834309535,73.8591740334226,Premium Dining,North Indian,App,Card,High,Clear,2.67,21.8,427.03,62.9,2.52,1,0
QB100121,2024-11-20,14,Wednesday,Surat,21.170884486465948,72.7060572554743,Quick Service,Fast Food,Web,UPI,High,Clear,1.42,13.4,310.77,57.7,3.02,1,0
QB100122,2024-11-16,16,Saturday,Delhi NCR,28.5551237570672,77.30638200719125,Cloud Kitchen,Indian,App,UPI,High,Cloudy,4.66,11.1,325.85,54.1,3.58,0,1
QB100123,2024-06-10,10,Monday,Mumbai,19.05698311662833,72.81767111771666,Casual Dining,Fast Food,Web,UPI,Very High,Clear,1.19,15.2,140.27,42.2,5.0,0,0
QB100124,2024-06-14,15,Friday,Delhi NCR,28.565707870229254,77.21580976458382,Cloud Kitchen,Desserts,App,UPI,Medium,Cloudy,12.08,10.7,283.37,63.2,1.75,1,0
QB100125,2024-06-10,14,Monday,Bengaluru,12.918977008856354,77.58347597441703,Quick Service,Chinese,Web,UPI,Low,Storm,8.49,16.8,172.37,65.7,2.35,1,0
QB100126,2024-08-18,9,Sunday,Pune,18.595122700797784,73.8387494312087,Quick Service,North Indian,App,UPI,Medium,Cloudy,7.26,6.7,241.69,51.9,3.81,0,1
QB100127,2024-10-28,11,Monday,Pune,18.600873960943712,73.85511010917054,Quick Service,Chinese,App,Card,High,Rain,3.44,15.7,228.65,68.7,1.34,1,0
QB100128,2024-08-03,18,Saturday,Mumbai,19.275909390893265,73.02100120513366,Casual Dining,Fast Food,App,Card,Medium,Cloudy,3.92,12.2,256.91,33.5,5.0,0,1
QB100129,2024-03-10,13,Sunday,Bengaluru,12.864071774705407,77.54636280798783,Casual Dining,Chinese,App,UPI,High,Rain,4.9,15.2,250.52,67.8,2.49,1,1
QB100130,2024-02-21,17,Wednesday,Delhi NCR,28.564503495782663,77.05728620991523,Cloud Kitchen,South Indian,App,COD,Medium,Storm,4.48,11.4,245.72,54.3,4.52,0,0
QB100131,2024-01-02,6,Tuesday,Delhi NCR,28.77726557223423,77.15565210264388,Cloud Kitchen,North Indian,Web,Wallet,Low,Clear,5.19,10.9,266.59,39.4,5.0,0,0
QB100132,2024-08-13,13,Tuesday,Mumbai,19.1144040214404,72.8586383169755,Casual Dining,Biryani,Web,COD,High,Cloudy,1.2,7.0,276.85,36.7,5.0,0,0
QB100133,2024-04-08,6,Monday,Delhi NCR,28.635069107525457,77.30528292655254,Quick Service,North Indian,App,UPI,Medium,Rain,5.74,14.7,280.83,58.8,3.0,1,0
QB100134,2024-08-05,18,Monday,Surat,21.271435641591335,72.80534125068327,Quick Service,Chinese,App,UPI,High,Rain,4.24,6.0,130.17,64.6,2.23,1,0
QB100135,2024-06-14,23,Friday,Delhi NCR,28.61707534058655,77.11337465614476,Cloud Kitchen,Desserts,App,UPI,Medium,Clear,9.94,13.0,310.56,63.5,3.01,1,0
QB100136,2024-04-02,9,Tuesday,Bengaluru,12.979590956352737,77.6865737615103,Quick Service,Biryani,App,UPI,Low,Clear,4.83,9.8,358.78,41.5,4.44,0,0
QB100137,2024-08-03,13,Saturday,Hyderabad,17.424273227914135,78.51232415464388,Cloud Kitchen,South Indian,App,Card,High,Clear,6.15,15.0,339.13,63.4,2.28,1,1
QB100138,2024-06-01,21,Saturday,Delhi NCR,28.71335874643836,77.26001755977455,Quick Service,North Indian,Web,UPI,High,Clear,6.16,7.2,307.55,45.6,4.76,0,1
QB100139,2024-10-27,15,Sunday,Surat,21.123966337853386,72.78395342148582,Casual Dining,Desserts,App,Card,Medium,Rain,2.75,12.0,120.0,57.8,3.18,1,1
QB100140,2024-04-12,12,Friday,Surat,21.270389367732864,72.87020346524214,Cloud Kitchen,South Indian,App,COD,Medium,Cloudy,1.29,12.9,174.95,43.5,4.78,0,0
QB100141,2024-10-12,12,Saturday,Delhi NCR,28.54087512645628,77.1699835701641,Quick Service,Indian,App,Card,Medium,Cloudy,9.06,16.1,369.62,64.5,2.41,1,1
QB100142,2024-06-07,12,Friday,Bengaluru,12.884585449876987,77.50947515921614,Casual Dining,Chinese,App,UPI,Very High,Clear,6.38,16.0,276.55,70.5,2.22,1,0
QB100143,2024-01-29,6,Monday,Delhi NCR,28.459236794266754,77.21957491756119,Casual Dining,South Indian,Web,COD,Low,Clear,4.14,15.6,266.14,44.1,5.0,0,0
QB100144,2024-05-22,18,Wednesday,Delhi NCR,28.561751029277286,77.27450430205899,Quick Service,Chinese,App,UPI,Low,Rain,5.05,11.4,219.01,39.4,5.0,0,0
QB100145,2024-01-08,20,Monday,Mumbai,19.077131941197262,72.8299870873625,Cloud Kitchen,Desserts,Web,UPI,High,Clear,2.81,11.5,162.63,41.6,5.0,0,0
QB100146,2024-01-25,15,Thursday,Hyderabad,17.407030199024437,78.58771939865181,Cloud Kitchen,Indian,App,UPI,Low,Clear,7.01,9.6,292.7,44.8,4.67,0,0
QB100147,2024-06-10,10,Monday,Bengaluru,12.987299275253338,77.57239645949475,Casual Dining,Biryani,Web,UPI,Medium,Rain,8.91,20.9,251.38,71.7,2.27,1,0
QB100148,2024-03-25,12,Monday,Mumbai,19.08249140151643,72.9111771087291,Quick Service,Chinese,App,UPI,Very High,Clear,1.35,15.8,338.57,49.2,4.21,0,0
QB100149,2024-01-26,18,Friday,Delhi NCR,28.404356084039925,77.17995673812725,Cloud Kitchen,North Indian,App,UPI,Medium,Clear,6.77,9.3,184.77,45.8,4.3,0,0
QB100150,2024-05-12,16,Sunday,Surat,21.13858279985728,72.7139242501045,Quick Service,Fast Food,App,UPI,Very High,Rain,0.6,6.0,333.71,52.0,3.77,0,1
